,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
124,2021-08-18,707.462537468186,631.8037332512371,780.5456920084438,707.462537468186,707.462537468186,-0.9991574300272726,-0.9991574300272726,-0.9991574300272726,-0.9991574300272726,-0.9991574300272726,-0.9991574300272726,0.0,0.0,0.0,706.4633800381588
125,2021-08-19,709.3968143291933,628.9015694280339,781.697135214818,709.3968143291933,709.3968143291933,-9.327065370025084,-9.327065370025084,-9.327065370025084,-9.327065370025084,-9.327065370025084,-9.327065370025084,0.0,0.0,0.0,700.0697489591681
126,2021-08-20,711.3310911902006,626.9406353491213,773.8017561320567,711.3310911902006,711.3310911902006,-11.645887282823042,-11.645887282823042,-11.645887282823042,-11.645887282823042,-11.645887282823042,-11.645887282823042,0.0,0.0,0.0,699.6852039073775
127,2021-08-23,717.1339217732226,639.2361602553348,789.9608685260848,717.1339217732226,717.1339217732226,-1.172241522496686,-1.172241522496686,-1.172241522496686,-1.172241522496686,-1.172241522496686,-1.172241522496686,0.0,0.0,0.0,715.9616802507259
128,2021-08-24,719.0681986342299,643.5590645783006,790.349187739761,719.0681986342299,719.0681986342299,-4.661943177147333,-4.661943177147333,-4.661943177147333,-4.661943177147333,-4.661943177147333,-4.661943177147333,0.0,0.0,0.0,714.4062554570826
129,2021-08-25,721.0024754952374,648.8759795062447,793.7210624968897,721.0024754952374,721.0024754952374,-0.9991574300199914,-0.9991574300199914,-0.9991574300199914,-0.9991574300199914,-0.9991574300199914,-0.9991574300199914,0.0,0.0,0.0,720.0033180652174
130,2021-08-26,723.578220255552,638.4472604358166,789.6841343106245,723.578220255552,723.578220255552,-9.327065369985446,-9.327065369985446,-9.327065369985446,-9.327065369985446,-9.327065369985446,-9.327065369985446,0.0,0.0,0.0,714.2511548855665
131,2021-08-27,726.1539650158667,640.6047915175523,789.7293216497269,726.1539650158667,726.1539650158667,-11.645887282808568,-11.645887282808568,-11.645887282808568,-11.645887282808568,-11.645887282808568,-11.645887282808568,0.0,0.0,0.0,714.5080777330581
132,2021-08-30,733.8811992968108,656.541471767862,810.3874693491884,733.8811992968108,733.8811992968108,-1.1722415224976497,-1.1722415224976497,-1.1722415224976497,-1.1722415224976497,-1.1722415224976497,-1.1722415224976497,0.0,0.0,0.0,732.7089577743131
133,2021-08-31,736.4569440571256,661.7564972919857,807.6245514760614,736.4569440571256,736.4569440571256,-4.661943177152978,-4.661943177152978,-4.661943177152978,-4.661943177152978,-4.661943177152978,-4.661943177152978,0.0,0.0,0.0,731.7950008799726
